date,country,rgdpmad,debtgdp,year,country_name,gov_revenue_gdp
1998,GBR,19724.085413065444,0.40929000000000004,1998,United Kingdom,34.057
1999,GBR,20269.481542579528,0.39431,1999,United Kingdom,34.539
2000,GBR,21045.72001977542,0.36734,2000,United Kingdom,35.287
2001,GBR,21567.35402910252,0.33999,2001,United Kingdom,34.996
2002,GBR,22008.006231145475,0.34215000000000007,2002,United Kingdom,33.983
2003,GBR,22762.765048987072,0.35398,2003,United Kingdom,33.996
2004,GBR,23306.55958095741,0.38391,2004,United Kingdom,34.869
2005,GBR,23810.431674391606,0.39592,2005,United Kingdom,35.284
2006,GBR,24285.282650144403,0.40515999999999996,2006,United Kingdom,35.608
2007,GBR,25002.119099661428,0.41547,2007,United Kingdom,35.938
2008,GBR,24602.13363468245,0.49327,2008,United Kingdom,35.786
2009,GBR,23489.35501271381,0.63193,2009,United Kingdom,34.555
2010,GBR,23777.155757682725,0.74273,2010,United Kingdom,35.475
2011,GBR,23967.740310562956,0.79975,2011,United Kingdom,36.091
2012,GBR,24150.282061037648,0.8316100000000001,2012,United Kingdom,36.062
2013,GBR,24523.87833989095,0.8415600000000001,2013,United Kingdom,36.463
2014,GBR,25034.193108199277,0.8606100000000001,2014,United Kingdom,35.611
2015,GBR,25423.86029158919,0.8672,2015,United Kingdom,35.805
2016,GBR,25649.813255197038,0.86775,2016,United Kingdom,36.296
2017,GBR,25941.298227075255,0.8631399999999999,2017,United Kingdom,36.652
2018,GBR,26109.672726731733,0.8577500000000001,2018,United Kingdom,36.599
2019,GBR,26341.025966169807,0.85243,2019,United Kingdom,36.253
2020,GBR,23646.774125758013,1.0447,2020,United Kingdom,36.812
1960,ITA,5456.190048020658,0.31205364776739786,1960,Italy,
1961,ITA,5852.674923067569,0.29492217836411166,1961,Italy,
1962,ITA,6203.007071305134,0.28448674423244463,1962,Italy,
1963,ITA,6531.85997605379,0.26580297960650856,1963,Italy,
1964,ITA,6727.938954228743,0.2646747728939415,1964,Italy,
1965,ITA,6963.939320707315,0.27546236489631315,1965,Italy,
1966,ITA,7366.023311500068,0.32215459925498635,1966,Italy,
1967,ITA,7872.313760270947,0.3179700909537514,1967,Italy,
1968,ITA,8382.405286376828,0.3419836551388285,1968,Italy,
1969,ITA,8879.374046834757,0.3481523716051608,1969,Italy,
1970,ITA,9366.596349734822,0.3572882316201894,1970,Italy,
1971,ITA,9489.247577700971,0.40387467415077966,1971,Italy,
1972,ITA,9795.126255935349,0.45913834450897306,1972,Italy,
1973,ITA,10413.549673699683,0.48755960107368257,1973,Italy,
1974,ITA,10913.877946399141,0.483308743843726,1974,Italy,
1975,ITA,10618.982479498884,0.5452843288541445,1975,Italy,
1976,ITA,11307.66354481134,0.5414944390849535,1976,Italy,
1977,ITA,11541.917805039184,0.5319514184472184,1977,Italy,
1978,ITA,11869.490233584993,0.5724803951179501,1978,Italy,
1979,ITA,12532.28816899758,0.5609292676279145,1979,Italy,
1980,ITA,12927.017997410425,0.5401107501731375,1980,Italy,
1981,ITA,13018.322193490614,0.5627516593080703,1981,Italy,
1982,ITA,13064.013264836063,0.6077468742769281,1982,Italy,
1983,ITA,13208.597189546079,0.6678356488158163,1983,Italy,
1984,ITA,13634.094930693087,0.7207357626396069,1984,Italy,
1985,ITA,14009.772723763488,0.778403816862373,1985,Italy,
1986,ITA,14408.105278189445,0.818838524643858,1986,Italy,
1987,ITA,14867.919366683249,0.8573021670651578,1987,Italy,
1988,ITA,15484.703010161711,0.8738156645994803,1988,Italy,37.705
1989,ITA,15996.877351064415,0.897711133404574,1989,Italy,38.499
1990,ITA,16313.127512539457,0.91580877944842,1990,Italy,43.027
1991,ITA,16562.94803045034,0.9479407041566734,1991,Italy,44.235
1992,ITA,16634.007458221156,1.0141493780309536,1992,Italy,46.69
1993,ITA,16440.83834679536,1.1118033315474776,1993,Italy,48.011
1994,ITA,16761.739574123065,1.171308884394672,1994,Italy,46.224
1995,ITA,17216.59526877699,1.1682749011911706,1995,Italy,44.248
1996,ITA,17378.120436215133,1.1616577199675664,1996,Italy,44.741
1997,ITA,17675.65493183744,1.1344760846819155,1997,Italy,46.344
1998,ITA,17908.53958560993,1.1035482878700869,1998,Italy,45.018
1999,ITA,18140.51642093767,1.093568298215505,1999,Italy,45.302
2000,ITA,18761.37160268521,1.0488658988582051,2000,Italy,43.948
2001,ITA,19062.439916661428,1.0453446590352495,2001,Italy,43.951
2002,ITA,19100.471045688388,1.0164529144965664,2002,Italy,43.613
2003,ITA,19006.708489859055,1.0015686612764791,2003,Italy,43.742
2004,ITA,19210.519703975657,0.9969548736562398,2004,Italy,43.206
2005,ITA,19283.733171442167,1.0150090646753502,2005,Italy,42.955
2006,ITA,19629.60635333147,1.0211856609420804,2006,Italy,43.954
2007,ITA,19841.538671196064,0.992961773906488,2007,Italy,45.274
2008,ITA,19460.4958473145,1.0616400000000001,2008,Italy,45.167
2009,ITA,18278.625580046355,1.1661,2009,Italy,45.996
2010,ITA,18520.425122909404,1.19198,2010,Italy,45.637
2011,ITA,18551.197642275638,1.19692,2011,Italy,45.502
2012,ITA,17951.283874349927,1.2649299999999999,2012,Italy,47.495
2013,ITA,17570.474942178338,1.3245500000000001,2013,Italy,48.026
2014,ITA,17549.695961443445,1.35366,2014,Italy,47.899
2015,ITA,17701.075746228515,1.3528,2015,Italy,47.785
2016,ITA,17969.303621967574,1.34784,2016,Italy,46.575
2017,ITA,18298.50837697321,1.34135,2017,Italy,46.274
2018,ITA,18510.573909341612,1.344,2018,Italy,46.129
2019,ITA,18601.359196772417,1.3456299999999999,2019,Italy,46.974
2020,ITA,17000.999643522366,1.5581200000000002,2020,Italy,47.405
1960,JPN,3986.4328857788614,0.0803498075608791,1960,Japan,
1961,JPN,4426.284224205285,0.0606295238661828,1961,Japan,
1962,JPN,4776.516828341152,0.05735480634875139,1962,Japan,
1963,JPN,5128.644256070067,0.045163066271169644,1963,Japan,
1964,JPN,5667.690457819473,0.044382378773474736,1964,Japan,
1965,JPN,5933.747612090928,0.05232810015015414,1965,Japan,
1966,JPN,6505.531579279223,0.06706165662020862,1966,Japan,
1967,JPN,7152.293622713407,0.08221281332489332,1967,Japan,
1968,JPN,7983.313409311386,0.08709909549201958,1968,Japan,
1969,JPN,8874.088897385178,0.11963314653542653,1969,Japan,
1970,JPN,9713.95143300291,0.106419,1970,Japan,
1971,JPN,10040.324215724026,0.11794700000000001,1971,Japan,
1972,JPN,10733.599560840017,0.156052,1972,Japan,
1973,JPN,11433.802064833166,0.152812,1973,Japan,
1974,JPN,11144.520200748892,0.160718,1974,Japan,
1975,JPN,11343.781059229359,0.203204,1975,Japan,
1976,JPN,11668.967903931694,0.25947,1976,Japan,
1977,JPN,12063.85497573237,0.309279,1977,Japan,
1978,JPN,12584.878299706463,0.39128700000000005,1978,Japan,
1979,JPN,13163.097132670082,0.436755,1979,Japan,
1980,JPN,13427.729937687376,0.48714599999999997,1980,Japan,26.324
1981,JPN,13754.451708405097,0.531128,1981,Japan,27.657
1982,JPN,14078.37040258014,0.58117,1982,Japan,27.918
1983,JPN,14306.872890504885,0.6429389999999999,1983,Japan,27.893
1984,JPN,14772.586962917898,0.661719,1984,Japan,28.576
1985,JPN,15331.250840808323,0.6831520000000001,1985,Japan,29.034
1986,JPN,15679.381063001287,0.7429810000000001,1986,Japan,29.035
1987,JPN,16251.293857282653,0.764093,1987,Japan,30.28
1988,JPN,17184.63784427426,0.7236190000000001,1988,Japan,30.389
1989,JPN,17942.5136567634,0.656758,1989,Japan,30.42
1990,JPN,18789.07116387426,0.629799,1990,Japan,31.418
1991,JPN,19347.1030845286,0.624362,1991,Japan,30.973
1992,JPN,19440.299298858994,0.669336,1992,Japan,30.868
1993,JPN,19417.435610722492,0.726271,1993,Japan,29.747
1994,JPN,19536.819448437403,0.834323,1994,Japan,29.022
1995,JPN,19871.714456558704,0.942299,1995,Japan,29.109
1996,JPN,20343.360449417913,0.9919410000000001,1996,Japan,28.939
1997,JPN,20617.43761502919,1.048312,1997,Japan,29.555
1998,JPN,20154.49399706678,1.1604590000000001,1998,Japan,28.586
1999,JPN,20070.399088282407,1.290302,1999,Japan,28.818
2000,JPN,20480.951264994896,1.356473,2000,Japan,28.669
2001,JPN,20499.90795272704,1.444434,2001,Japan,28.994
2002,JPN,20516.849232535595,1.542849,2002,Japan,28.056
2003,JPN,20832.997849900727,1.6006970000000003,2003,Japan,27.605
2004,JPN,21301.17824873966,1.689246,2004,Japan,28.364
2005,JPN,21575.023474075475,1.7429320000000001,2005,Japan,29.081
2006,JPN,21938.170592300474,1.740333,2006,Japan,30.028
2007,JPN,22410.065610134494,1.72809,2007,Japan,30.222
2008,JPN,22175.1244681219,1.807147,2008,Japan,29.998
2009,JPN,20963.200296560124,1.987026,2009,Japan,28.993
2010,JPN,21934.903391345688,2.056931,2010,Japan,28.669
2011,JPN,21869.04677661825,2.190945,2011,Japan,29.641
2012,JPN,22218.193228700202,2.2609280000000003,2012,Japan,30.442
2013,JPN,22702.703762553305,2.2962610000000003,2013,Japan,31.167
2014,JPN,22808.11785153788,2.335278,2014,Japan,32.773
2015,JPN,23189.97882270277,2.283968,2015,Japan,33.617
2016,JPN,23367.994774838386,2.325199,2016,Japan,33.63
2017,JPN,23799.611471881875,2.314161,2017,Japan,33.587
2018,JPN,23980.04135550288,2.325092,2018,Japan,34.267
2019,JPN,24035.72845588844,2.348592,2019,Japan,34.249
2020,JPN,23001.358814399202,2.539057,2020,Japan,35.461
1960,USA,11328.475516269904,0.5429999999999999,1960,United States,
1961,USA,11401.734434457867,0.534,1961,United States,
1962,USA,11904.984507178162,0.516,1962,United States,
1963,USA,12242.340495238901,0.501,1963,United States,
1964,USA,12772.566431634954,0.47700000000000004,1964,United States,
1965,USA,13418.701718450051,0.45399999999999996,1965,United States,
1966,USA,14133.526658526658,0.42,1966,United States,
1967,USA,14330.030395748621,0.406,1967,United States,
1968,USA,14862.938825944417,0.41,1968,United States,
1969,USA,15179.408615679135,0.37200000000000005,1969,United States,
1970,USA,15029.846087821626,0.363,1970,United States,
1971,USA,15304.298833194485,0.365,1971,United States,
1972,USA,15943.867439112702,0.35700000000000004,1972,United States,
1973,USA,16689.34306707124,0.344,1973,United States,
1974,USA,16491.26974477915,0.326,1974,United States,
1975,USA,16283.63267630676,0.336,1975,United States,
1976,USA,16975.08656867017,0.35100000000000003,1976,United States,
1977,USA,17566.502753826528,0.348,1977,United States,
1978,USA,18372.97212300919,0.341,1978,United States,
1979,USA,18789.393703761303,0.32299999999999995,1979,United States,
1980,USA,18577.36665413365,0.325,1980,United States,
1981,USA,18855.55486999598,0.317,1981,United States,
1982,USA,18325.12026308355,0.34299999999999997,1982,United States,
1983,USA,18920.156391092147,0.387,1983,United States,
1984,USA,20122.667101821073,0.396,1984,United States,
1985,USA,20717.322960076497,0.426,1985,United States,
1986,USA,21236.08546335124,0.46799999999999997,1986,United States,
1987,USA,21787.69367412788,0.49200000000000005,1987,United States,
1988,USA,22499.441620233243,0.506,1988,United States,
1989,USA,23059.278193599523,0.516,1989,United States,
1990,USA,23200.560312401587,0.544,1990,United States,
1991,USA,22832.790045888927,0.591,1991,United States,
1992,USA,23284.981879676943,0.624,1992,United States,
1993,USA,23640.11257957278,0.642,1993,United States,
1994,USA,24312.78895848798,0.647,1994,United States,
1995,USA,24637.32985625143,0.6509999999999999,1995,United States,
1996,USA,25263.10164908837,0.652,1996,United States,
1997,USA,26074.239422588977,0.635,1997,United States,
1998,USA,26893.450858320128,0.613,1998,United States,
1999,USA,27869.81202767119,0.591,1999,United States,
2000,USA,28701.934318309348,0.556,2000,United States,
2001,USA,28726.09431927397,0.5479999999999999,2001,United States,32.257
2002,USA,28976.93019268436,0.5720000000000001,2002,United States,29.877
2003,USA,29458.922506871182,0.599,2003,United States,29.266
2004,USA,30199.800860551808,0.612,2004,United States,29.476
2005,USA,30841.645496424466,0.616,2005,United States,30.853
2006,USA,31357.539587735886,0.62,2006,United States,31.656
2007,USA,31654.926754922406,0.626,2007,United States,31.649
2008,USA,31251.266490333088,0.677,2008,United States,30.532
2009,USA,29898.64421649179,0.823,2009,United States,28.222
2010,USA,30491.34438076369,0.912,2010,United States,28.77
2011,USA,30745.45820562164,0.958,2011,United States,29.08
2012,USA,31224.222253421813,1.0,2012,United States,29.109
2013,USA,31581.707325592328,1.0070000000000001,2013,United States,31.222
2014,USA,32072.18365577019,1.026,2014,United States,31.298
2015,USA,32703.493039904108,1.001,2015,United States,31.501
2016,USA,33012.76787083851,1.052,2016,United States,30.977
2017,USA,33543.679861697616,1.046,2017,United States,30.4
2018,USA,34338.77075550321,1.054,2018,United States,30.014
2019,USA,34961.83505132533,1.068,2019,United States,30.011
2020,USA,33646.26175527241,1.281,2020,United States,30.646
